Item_ID,Platform,Search_Term,URL,Title_Caption,Creator_Name,Date_Posted,Views,Likes,Comments,Content_Format,Subscribers,Duration,Description
YT-11,YouTube,best exercises to lose weight,https://www.youtube.com/watch?v=Dj0bk8TFWdY,FULL BODY FAT LOSS in 14 Days NO JUMPING | Free Home Workout Guide,Lilly Sabri,2020-03-30T16:15:01.000Z,11719068,298000,6607,Long video (>5min),,00:12:35,This full body fat loss in 14 days no jumping free home workout guide will help you lose fat / weight from home with low impact and apartment friendly exercises. Get ready to sweat through this total body fat burn HIIT workout from home without equipment.  Thank you to Optimum Nutrition for helping me create this free workout guide to share with the LEAN familia during this difficult time for all of us 💙  Download your free home workout guide here: https://www.leanwithlilly.com  💛 FOLLOW ME: I
YT-12,YouTube,best exercises to lose weight,https://www.youtube.com/watch?v=rHhB-KsFMVw,The Best Exercises for Hanging Belly Fat | 30-min Workout To LOSE 3 INCHES OFF WAIST in 1 Week,FITNESS CIRCLE,2024-01-26T13:30:24.000Z,11707477,137000,1352,Long video (>5min),,00:30:36,"Exercise To LOSE 2 INCHES OFF WAIST in 1 Week | Do This STANDING 30-Min and Say Goodbye to Belly Fat ➜SIDE FAT  Do This Everyday For 7 Days & Say Goodbye To Belly Fat Do This STANDING 30-Min to Lose That STUBBORN BELLY FAT in 5 weeks | Exercise for Hanging Belly Fat A hanging belly happens when you have extra fat in your stomach area that you can see on the sides, sometimes forming a pouch. To lose fat from your lower belly, the best method is to lower your overall body fat by eating fewer calor"
YT-13,YouTube,best exercises to lose weight,https://www.youtube.com/watch?v=kdpHMdFScm8,Most Effective Exercises For Fast Weight Loss In 20 Min | No Equipment Home Workout To Reduce Weight,The Gainz Center,2020-08-21T15:15:08.000Z,1541617,27000,924,Long video (>5min),,00:20:12,"FREE Workout Programs: https://thegainzcenter.com/ Our Discord Invite Code: GAINZ  Here is a 20 minute home workout with effective exercises to lose weight fast at home. These exercises targets your entire body including your chest, arms, legs and waist. It also contains cardio exercises to reduce chest fat, shrink belly fat, lose love handles, tone your arms and ultimately to minimise weight and burn off fats and drop weight fast around your entire body to slim down.  Perform this workout consi"
YT-14,YouTube,best exercises to lose weight,https://www.youtube.com/watch?v=7fICF_O5esc,The PERFECT Workout to Lose Weight (Sets and Reps Included),ATHLEAN-X™,2020-01-26T18:31:47.000Z,3762967,125000,3924,Long video (>5min),,00:11:46,"If you are looking for a workout to lose weight then this is the video for you. Most of the time, when people attempt to lose weight they focus on workouts and exercises that are either not intense enough to burn the calories needed or they ratchet up the intensity so much that they are unable to sustain the workout for long enough to get sufficient results. Not here. I’m going to show you how to do this step by step with an entire plan.  60% off all AX programs - http://athleanx.com/x/126-worko"
YT-15,YouTube,best exercises to lose weight,https://www.youtube.com/watch?v=wXzveroBplo,the Best Workout to Lose Weight Fast 👉 Lose 10 Pounds in 3 Days,Adrian Bryant,2019-09-15T19:00:11.000Z,8516467,260000,37768,Long video (>5min),,00:34:15,"Adrian's Fat Loss System ➜ https://bit.ly/__CLICK__HERE ➜ ""Adrian, I 𝗟𝗼𝘀𝘁 𝟮𝟮 𝗣𝗼𝘂𝗻𝗱𝘀 𝗶𝗻 𝟮𝟯 𝗗𝗮𝘆𝘀. Why Haven't I Lost 30 By Now!? . .     To make this the BEST weight loss workout EVER to lose weight fast,  You are not doing chair burpees; YOU ARE DOING an EXERCISE CALLED 'LOOK BETTERS'  DO NOT DO REGULAR BURPEES! Chair burpees (or look betters) may seem easier but they are actually better for fat loss because they force you to go faster. This makes it more intense than the regu"
YT-16,YouTube,best exercises to lose weight,https://www.youtube.com/watch?v=UheajlsZ72E,10 Min Fat Burning Workout | No Equipment,THENX,2021-05-16T13:00:10.000Z,7231428,201000,4292,Long video (>5min),,00:12:59,Follow along with Chris Heria as he shows you 10 Min Fat Burning Workout with No Equipment. This workout will have you burning calories and give you real results by increasing your endurance and muscle definition.   GET THIS WORKOUT ON YOUR PHONE: https://share.thenx.com/share/bvAuBEd...  Get the Music in the video made by Chris Heria:    / chrisheria    FOLLOW CHRIS HERIA IG: @chrisheria    / chrisheria   VLOG YT CHANNEL:    / chrisheria    Take your training to the next level with a Heria weig
YT-17,YouTube,best exercises to lose weight,https://www.youtube.com/watch?v=Fz89dJTZsko,Everything That Burns More Fat Than Jogging,Jeremy Ethier,2025-08-03T13:00:33.000Z,3084549,62000,3662,Long video (>5min),,00:21:26,"Get FREE 2-week access to smarter fat-loss training with the BWS+ app here: https://bws.plus/g1  Click below to subscribe for more videos: https://www.youtube.com/jeremyethier/...  This one exercise burns twice as much fat as jogging and that’s just 1 of the 12 popular cardio exercises we tested, using the world’s most accurate calorie tracker, to measure not just total calories but also fat and carb burn, to finally settle the question: what's the best cardio for fat loss? By the end, you’ll kn"
YT-18,YouTube,best exercises to lose weight,https://www.youtube.com/watch?v=IT94xC35u6k,"20 min Fat Burning Workout for TOTAL BEGINNERS (Achievable, No Equipment)",MadFit,2022-02-07T18:25:28.000Z,34467720,618000,16046,Long video (>5min),,00:22:17,"a 20 min fat burning, full body workout you can do at home without any equipment! A workout designed for TOTAL BEGINNERS! Wether you are just getting into fitness, or are getting back in the fitness game... this one is for you. #HomeWorkout #Fitness #BeginnerWorkout 👉🏼 DOWNLOAD YOUR MADFIT APP FREE TRIAL HERE: https://madfit.app.link/e/store  ⭐️ DO THIS WARM UP FIRST: http://bit.ly/2riv8T6 ⭐️ APARTMENT FRIENDLY WARM UP: https://youtu.be/CSrBaHX3HxQ ⭐️ DO THIS COOL DOWN AFTER (5 min): https://b"
YT-19,YouTube,best exercises to lose weight,https://www.youtube.com/watch?v=uKXF3eS79_A,How to ACTUALLY Lose Fat with Exercise,RESPIRE,2024-08-31T13:01:06.000Z,384882,8500,245,Long video (>5min),,00:10:13,"Please watch: ""The BEST Fat Loss Supplement in 2025""     • The Ultimate Fat-Burning Supplement of 202...   -~- Andrew Huberman shares 5 tips for accelerating fat loss through exercise.  00:00 Intro 00:30 Exercise & Fat Loss 01:11 3 Types of Training  02:11 Fasted vs Unfasted Exercise 02:46 The 90 Minute Rule 03:52 High Intensity Training & Fat Oxidation 06:39 Pre-Exercise Foods for Fat Oxidation 07:16 Post-Exercise Fat Oxidation  This video is a condensed and highly edited version of the full 94"
YT-20,YouTube,best exercises to lose weight,https://www.youtube.com/watch?v=gC_L9qAHVJ8,"30 minute fat burning home workout for beginners. Achievable, low impact results.",Body Project,2019-03-24T20:07:35.000Z,58054142,678000,28508,Long video (>5min),,00:29:12,"https://teambodyproject.com   Create a free account today.   This workout is part of Real Start and Real Start Plus - a workout plan made for real people with real people.   All workouts in this plan are low impact, realistic and effective."
YT-21,YouTube,strength training for beginners,https://www.youtube.com/watch?v=V09O2rwArjI,STRENGTH TRAINING workout at home for Beginners (no equipment),Rebecca-Louise,2024-01-15T16:00:08.000Z,99280,2400,64,Long video (>5min),,00:10:08,"Start your fitness journey or get back on track with this 8 min Strength Training workout. This is perfect if you are new to exercise, need a lighter workout or coming back after a break.   Rebecca Louise here, wanted to say hi 👋🏻 and Welcome you to my YouTube Channel. This is a place full of Sweat, Grit and Positivity! ✨   First up, let’s connect 👇🏻 If you do just one thing today to put your life in a healthier and happier it’s this….  Join our free Telegram Channel https://t.me/rebeccaloui"
YT-22,YouTube,strength training for beginners,https://www.youtube.com/watch?v=dcKwz_C8pkg,15 Min BEGINNER Full Bodyweight Strength Workout,Sunny Health & Fitness,2024-10-04T15:30:18.000Z,118651,2700,6,Long video (>5min),,00:17:33,"Join us for a fantastic beginner-friendly workout that requires no equipment—just your body! This 15 - minute session is designed to target your glutes, core, shoulders, and back. Get ready for a full-body workout that will stretch and challenge your muscles, leaving you feeling accomplished and energized. Perfect for all fitness levels, this routine will help you build strength and flexibility in just a short time. Let’s sweat together and feel the burn!  00:00 Introduction  Warmup:  0:52  Toy"
YT-23,YouTube,strength training for beginners,https://www.youtube.com/watch?v=Vz53oNHSIBk,Beginner Light Dumbbell Workout,Justin Agustin,2023-03-16T17:00:14.000Z,1069367,39000,106,Long video (>5min),,00:00:49,"Full-length beginner workout videos at https://justinagustin.com and the ""Justin Agustin Fitness app available on in the Apple Store, Google Play, Roku, FireTV, Android TV and more! Exercise from the comfort of your own home with zero gym equipment!  I have low-impact options for beginners, workouts to strengthen your muscles, and improve mobility! Just press play and follow along with me.  Here are some basic but effective lightweight exercises to build strength! Practice with water bottles at"
YT-24,YouTube,strength training for beginners,https://www.youtube.com/watch?v=_6WERjVqBwE,THIS type of AT HOME beginner workouts changed my life,growwithjo,2024-02-19T13:00:35.000Z,5846159,198000,632,Long video (>5min),,00:00:17,join monthly standing walking workout challenges for beginners here: https://growwithjo.com/pages/homefitness
YT-25,YouTube,strength training for beginners,https://www.youtube.com/watch?v=11VqZqlcPBM,10 Minute Full body Strength Workout for Beginners & Seniors // Osteoporosis Friendly,SeniorShape Fitness,2025-03-21T11:00:02.000Z,199193,4500,232,Long video (>5min),,00:10:57,"Let's get it done with this quick total body strength workout! All exercises are osteoporosis friendly (no twisting or rounding the spine) and are set to a timer with 45 seconds work and 15 seconds rest. I'm using a set of 5 pound dumbbells (2.26kg), but please use a weight that is appropriate for you.  You can do this workout on it's own or it is also a great add-on if you are feeling strong and/or after your cardio. Make sure you warm up and cool down afterwards. Because this is just a 10 minu"
YT-26,YouTube,strength training for beginners,https://www.youtube.com/watch?v=EZlF5_Je0YE,Strength Training Workout for Beginners & Seniors // Isometric & Balance Exercises!,SeniorShape Fitness,2024-09-16T11:00:13.000Z,430616,9700,1874,Long video (>5min),,00:28:53,"I'm excited for you to try this new strength workout! This video will be a different challenge for you because it focuses on isometric exercises. An isometric exercise is when we hold the weight in a static position so the muscle stays contracted. It's a great way to work our muscles in a different and functional way. Give it a try and let me know what you think! For demonstration purposes, I'm using a set of 5 pound hand weights. Feel free to go lighter or heavier based on your abilities. Osteo"
YT-27,YouTube,strength training for beginners,https://www.youtube.com/watch?v=1VvgNZsg9nc,12 Min Beginner Weight Training - Strength Training for Beginners - Beginner Workout Routine,HASfit,2016-04-25T13:00:00.000Z,220450,3900,100,Long video (>5min),,00:14:19,Download the FREE HASfit app:  Android http://bit.ly/HASfitAndroid -- iPhone http://bit.ly/HASfitiOS  Visit http://hasfit.com/workouts/home/12-mi... for the workout's instructions  Donate with Patreon:   / hasfit   Shop HASfit Tribe store: https://hasfit.myshopify.com/  Get up to 2x Faster Results by following a Fitness Program Calendar: Which program is right for me? http://bit.ly/2E16cng Foundation Beginner Program: http://bit.ly/2AnjffQ 30 Day Muscle Building: http://bit.ly/2RqYBoO 30 Day Tor
YT-28,YouTube,strength training for beginners,https://www.youtube.com/watch?v=OJ1Dbv6YriQ,"STRENGTH TRAINING for BEGINNERS | Build strength, get toned & speed up metabolism!",Improved Health,2021-08-12T11:30:08.000Z,281778,5300,309,Long video (>5min),,00:25:25,"This is a beginner strength training workout created for seniors and beginners who have little-to-no experience.  Strength training is great to building strength (obviously!), to get toned and best of all, to speed up metabolism!  I explain each exercise as we go through them to ensure you understand proper form and technique.  Even though I teach the exercises while standing, most of the exercises can also be followed by sitting in a chair.  We'll cover all the major muscle groups today.  There"
YT-29,YouTube,strength training for beginners,https://www.youtube.com/watch?v=YEyFdtni3uU,5 MIN ARM WORKOUT,MadFit,2023-05-31T14:00:31.000Z,10683518,,706,Long video (>5min),,00:00:20,"A super quick and effective 5 minute arm workout using dumbbells/weights! The full, follow along, workout can be found on my channel. #homeworkout #fitness #shorts"
YT-30,YouTube,strength training for beginners,https://www.youtube.com/watch?v=RPi9aJGuRDM,30 Min Full Body Dumbbell Workout for Beginners - Beginner Strength Training at Home with Weight,HASfit,2023-03-06T13:00:28.000Z,912437,14000,254,Long video (>5min),,00:39:43,Download the FREE HASfit app:  Android http://bit.ly/HASfitAndroid -- iPhone http://bit.ly/HASfitiOS Instructions for 30 Min Full Body Dumbbell Workout for Beginners - Beginner Strength Training at Home with Weight: https://hasfit.com/workouts/home/easy...  Donate on Patreon:   / hasfit   Shop HASfit Tribe store: https://hasfit.myshopify.com/  Get up to 2x Faster Results by following a Fitness Program Calendar: Which program is right for me? http://bit.ly/2E16cng Foundation Beginner Program: htt
YT-31,YouTube,physical activity guidelines,https://www.youtube.com/watch?v=60hVUlEy5Sc,New Physical Activity Guidelines for Americans: Getting Granular,GW Integrative Medicine,2025-09-15T16:30:42.000Z,19,,,Long video (>5min),,00:29:11,"Today we talk about the Physical Activity Guidelines for Americans, 2nd edition, with GW's Loretta DiPietro, PhD. She was one of 17 nationally recognized experts in physical activity and health to be appointed to the 2018 Physical Activity Guidelines Advisory Committee.   The Advisory Committee did a systematic review of the scientific evidence over a two year period. In February 2018, they submitted a Scientific Report to the HHS Secretary. This report helped inform the new guidelines. This is"
YT-32,YouTube,physical activity guidelines,https://www.youtube.com/watch?v=ng4yg5lY6oQ,Mayo Clinic Minute: New fitness guidelines for the new year,Mayo Clinic,2018-12-24T16:34:54.000Z,4152,48,,Long video (>5min),,00:01:00,"Exercise is a key factor in maintaining physical and mental health. The Department of Health and Human Services recently released new guidelines for physical activity. The new federal fitness instructions haven't changed much for adults, except for the elimination of a specific requirement.  More health and medical news on the Mayo Clinic News Network. https://newsnetwork.mayoclinic.org/  Journalists: Clean and nat sound versions of this pkg available for download at https://newsnetwork.mayoclin"
YT-33,YouTube,physical activity guidelines,https://www.youtube.com/watch?v=Nt3Qh_oJ3YY,Guidelines for Physical Activity,Arthritis UK,2020-11-24T14:29:03.000Z,20560,104,,Long video (>5min),,00:04:05,"Do you know how much activity you should aim for, or which activities to choose? These government guidelines can help."
YT-34,YouTube,physical activity guidelines,https://www.youtube.com/watch?v=ErzXq7Uu0mY,The 2018 Physical Activity Guidelines for Americans   What’s New,CEPA Continuing Education,2020-04-22T01:11:51.000Z,514,1,,Long video (>5min),,00:45:56,
YT-35,YouTube,physical activity guidelines,https://www.youtube.com/watch?v=abPVL_TQtso,Physical Activity Guidelines,Good Shepherd Health Care System,2020-07-13T22:52:38.000Z,455,,,Long video (>5min),,00:18:27,"Hear from our Cardiopulmonary Rehabilitation team to receive helpful instruction on the benefits of being physically active, how to exercise safely and tips to stick with it.  The good news is that every little bit of activity helps towards your total goal for the week. Remember to move more and sit less!  This is the fifth class in the series."
YT-36,YouTube,physical activity guidelines,https://www.youtube.com/watch?v=tFu949_By64,Physical Activity Guidelines,Southern Nevada Health District,2013-01-24T23:25:29.000Z,376,,,Long video (>5min),,00:01:20,Ever wonder how much exercise you need to be fit and healthy? Watch as Mindy fills you in on the recommendations!  Check out our YouTube channel (   / snhealthdistrict  ) to watch more videos from the Southern Nevada Health District.
YT-37,YouTube,physical activity guidelines,https://www.youtube.com/watch?v=KAYtlMkKP1g,Government Issues New Exercise Guidelines,CBS Boston,2018-11-13T01:40:05.000Z,206,3,,Long video (>5min),,00:00:46,"Guidelines released Monday by the federal government show that most Americans are not getting the exercise they need, costing the health care system over $100 billion each year. Gilma Avalos reports."
YT-38,YouTube,physical activity guidelines,https://www.youtube.com/watch?v=TG2kHvDs96w,"New Guidelines for Physical Activity (Steve Ball, PhD)",MU Health,2019-01-17T20:24:24.000Z,1277,5,,Long video (>5min),,00:01:36,"About 80 percent of U.S. teens and adults are insufficiently active, according to a new report from the federal government. Experts say it may be easier than you think, though, to fit more exercise into your daily routine."
YT-39,YouTube,physical activity guidelines,https://www.youtube.com/watch?v=_DmBSZC15eo,Physical activity guidelines that work,KING 5 Seattle,2019-02-02T01:35:51.000Z,94,1,,Long video (>5min),,00:01:45,"80-percent of U.S. teens and adults are not active enough, according to a new report issued by federal government. In Healthlink, KING 5's Amity Addrisi explains it may be easier than you think to get moving."
YT-40,YouTube,physical activity guidelines,https://www.youtube.com/watch?v=LKafqM5kve4,Physical activity - guidelines,County Durham & Darlington NHS Foundation Trust,2022-01-21T11:02:29.000Z,554,,1,Long video (>5min),,00:02:40,
YT-41,YouTube,home workout routine,https://www.youtube.com/watch?v=7GkMHPe_OXw,20 Min FULL BODY Workout For BEGINNERS (No Equipment),Tone and Tighten,2022-01-06T07:00:01.000Z,1076151,20000,838,Long video (>5min),,00:21:49,"A total body workout you can do at home with zero equipment specifically for beginners! Work all the major muscles of your upper body, lower body and core with this fat-burning, follow-along workout. Beginner exercises at beginner intervals with advanced options also demonstrated.  ============================ LINK TO JARED’S THICK WORKOUT MAT:  https://urlgeni.us/amzn/drjaredexerci... ============================  Fact #1: Workouts don’t have to be very long to be effective.  Fact #2: They also"
YT-42,YouTube,home workout routine,https://www.youtube.com/watch?v=cbKkB3POqaY,25 MIN FULL BODY HIIT for Beginners - No Equipment - No Repeat Home Workout,growingannanas,2023-03-13T02:00:07.000Z,27495694,429000,11549,Long video (>5min),,00:28:19,"💖 Find the right workout plan for you in my fitness app – let's grow together! https://quiz.growwithanna.com/ Team, get ready for 25 minutes of full body HIIT! You can expect no repeat cardio & strength exercises and all you need is a mat! Get your heart pumping, burn calories and have fun - I promise you'll feel the HIGH after you're finished! Let's do it!  ▸ Muscles Worked: Full Body ▸ Time: 25 Min + cool down stretches ▸ Equipment: Bodyweight Only, No Equipment  Workout: ▸ Round 1: 40 sec on"
YT-43,YouTube,home workout routine,https://www.youtube.com/watch?v=wIynl3at0Rs,20 MINUTE FULL BODY WORKOUT (NO EQUIPMENT),Milestone Strength,2020-11-04T08:39:45.000Z,6192928,93000,1761,Long video (>5min),,00:20:25,"At home workouts are an absolute lifesaver in these times. Whether you do not have a gym membership or you simply cannot make it to the gym, this bodyweight only full body workout will help you hit your fitness goals.  GET OUR MERCH HERE:   JOIN OUR TRAINING PROGRAM:  https://getstarted.milestonestrength.com  http://milestonestrength.threadless.com   SPOTIFY: https://open.spotify.com/playlist/2pN...   Follow Us: Instagram: @nathan (  / milestonestrength  )"
YT-44,YouTube,home workout routine,https://www.youtube.com/watch?v=3EKcdVsYdk4,25 MIN FULL BODY WORKOUT AT HOME (Fat Burn & No Equipment) 전신 맨몸 운동 홈트 25분 (체중감량 & 장비없음),Jae-ho - Trainer & Physical Therapist,2025-10-20T08:15:00.000Z,866343,13000,330,Long video (>5min),,00:24:47,"Hello, I'm Jaeho, a trainer and physical therapist.  Today's routine is a 25-minute, two-intensity, full-body workout designed to help you lose weight and improve overall strength.  It combines cardio, lower body, ab, and upper body exercises, with ample rest periods and the goal of maintaining your performance.  We always recommend exercising according to your individual fitness level."
YT-45,YouTube,home workout routine,https://www.youtube.com/watch?v=gElD1Nqxwh8,How To Set Up A Home Workout Schedule for Men,Fit Father Project - Fitness For Busy Fathers,2020-05-29T17:30:25.000Z,71827,1700,85,Long video (>5min),,00:07:46,Learn how to set up a home workout schedule for men who are trying to lose weight and get toned! Get our Fit Father 30-Day Fat Loss Program here → https://www.fitfatherproject.com/yout... Get our Fit Father Old School Muscle Building Program here → https://www.fitfatherproject.com/yout...  Subscribe to our channel here → https://goo.gl/wxghQ5  Our FREE resources:  24-Min Fat Burning Workout → https://www.fitfatherproject.com/yout... 1-Day Weight Loss Meal Plan → https://www.fitfatherproject.com/
YT-46,YouTube,home workout routine,https://www.youtube.com/watch?v=KeNObkhENKQ,TOP 10 Exercises to Get Fit At Home!,Calisthenicmovement,2023-01-27T12:00:20.000Z,1635806,43000,475,Long video (>5min),,00:08:10,𝗢𝘂𝗿 𝗪𝗼𝗿𝗸𝗼𝘂𝘁 𝗣𝗿𝗼𝗴𝗿𝗮𝗺𝘀 🔥 https://calimove.com 🔥 Follow Along Routine  👉 https://www.calimove.com/courses/home...  ✔️Instagram ➢   / calimove   ✔️Facebook ➢   / 154846744637610    Music: ➢ http://www.epidemicsound.com/
YT-47,YouTube,home workout routine,https://www.youtube.com/watch?v=GViX8riaHX4,30 Min FULL BODY DUMBBELL WORKOUT at Home | Muscle Building,Caroline Girvan,2020-08-03T12:21:05.000Z,16497410,251000,6254,Long video (>5min),,00:36:27,"This is a follow along 30 minute full body dumbbell workout that will target every muscle group with compound movement to help you become stronger, build lean muscle, burn energy for hours after completing and basically leave you feeling awesome!!   The exercises are performed for 30 seconds each, 30 seconds rest. The exercises are performed for 3 sets each.   The weight I am using is 15kg x 2 dumbbells for your reference. So yes, as heavy as you have access to and slow paced, controlled and ful"
YT-48,YouTube,home workout routine,https://www.youtube.com/watch?v=jKTxe236-4U,"30 MIN FULL BODY WORKOUT - Apartment & Small Space Friendly (No Equipment, No Jumping)",MadFit,2023-04-04T15:21:49.000Z,4889337,88000,1327,Long video (>5min),,00:32:28,"If you live in an apartment or feel limited working out at home, this workout is for you! This 30 min full body workout can be done in a small space, with NO EQUIPMENT, and there is no jumping/no noise involved. #homeworkout #fitness #workout   👉🏼 DOWNLOAD THE MADFIT APP HERE: https://madfit.app.link/e/store  ⭐️ WARM UP FIRST! : https://youtube.com/playlist?list=PLN99XDk2SYr5BWr23Q7RfP9ENtXQCp_4f ⭐️ COOL DOWN AFTER! : https://www.youtube.com/playlist?list=PLN99XDk2SYr52XNYI3rJ0beT_fo1iePS2  👉"
YT-49,YouTube,home workout routine,https://www.youtube.com/watch?v=UIPvIYsjfpo,30 Min FULL BODY WORKOUT with WARM UP | No Equipment & No Repeat | Rowan Row,Rowan Row,2024-10-02T14:57:04.000Z,4919683,90000,3037,Long video (>5min),,00:32:52,► 30 Min FULL BODY WORKOUT with WARM UP | No Equipment & No Repeat | Rowan Row -----------------------------------------­­­­­­­--------------------------------- • My Links • Instagram •   / rowanrow   Facebook •   / rowanrow   TikTok •   / rowanrowofficial   Twitter •   / rowanrowrowan   Website • https://www.rowanrow.com ---------------------------------------­­­­­­­----------------------------------­-­-­-­ • Music •  Epidemic Sound  https://www.epidemicsound.com -------------------------------
